gm_nome,guvr_id,guvr_numero,guvr_nome,media_1_receita_vendas,media_1_receita_servicos,media_1_despesas,media_1_material_reciclado,media_1_rejeito,media_1_total_material_processado,media_1_postos_de_trabalho,media_1_renda_media,media_2_receita_vendas,media_2_receita_servicos,media_2_despesas,media_2_material_reciclado,media_2_rejeito,media_2_total_material_processado,media_2_postos_de_trabalho,media_2_renda_media
Paraíso do Norte,97,1,PARAÍSO DO NORTE - UVR 01,,,,,,,,,24311.8,4330.33,6762.23,27.73,10.01,36.07,17.0,1512.85
Pato Bragado,11,1,PATO BRAGADO - UVR 01,23271.42,16106.38,13248.17,24.26,3.49,26.59,11.0,1917.77,26320.26,24200.77,20165.11,26.64,8.89,35.53,12.0,2829.46
Presidente Castelo Branco,98,1,PRESIDENTE CASTELO BRANCO - UVR 01,,,,,,,,,9682.07,3270.0,3333.74,8.73,1.47,10.21,4.0,2421.64
Quatro Pontes,2,1,QUATRO PONTES - UVR 01,15490.76,9841.27,5163.13,14.81,5.49,20.3,5.0,3078.05,16671.65,0.0,7000.98,15.97,7.09,23.05,7.0,2709.04
Quedas do Iguaçu,99,1,QUEDAS DO IGUAÇU - UVR 01,,,,,,,,,27270.76,10000.0,14824.37,31.12,17.74,48.86,13.0,2902.25
Ramilândia,53,1,RAMILÂNDIA - UVR 01,17024.1,11816.85,1427.0,19.37,3.15,22.52,10.0,2599.17,16853.44,13726.21,3046.09,18.64,3.04,21.68,9.0,2672.17
Realeza,124,1,REALEZA - UVR 01,,,,,,,,,60402.74,48598.11,68946.68,59.58,20.0,62.92,38.0,2511.49
Reserva do Iguaçu,106,1,RESERVA DO IGUAÇU - UVR 01,,,,,,,,,13632.84,2000.0,314.4,15.14,4.58,18.19,5.0,2444.02
Ribeirão Claro,100,1,RIBEIRÃO CLARO - UVR 01,,,,,,,,,12732.09,5625.0,1872.32,14.24,1.64,14.79,10.0,1391.78
Rio Branco do Sul,125,1,RIO BRANCO DO SUL - UVR 01,,,,,,,,,26803.99,31896.17,17871.85,34.55,5.4,35.45,28.0,2024.04
Rio Negro,101,1,RIO NEGRO - UVR 01,,,,,,,,,20735.5,4305.43,2377.29,19.3,6.24,25.54,15.0,1502.03
Salgado Filho,127,1,SALGADO FILHO - UVR 01,,,,,,,,,8996.34,0.0,2791.16,10.04,2.68,12.72,3.0,2649.22
Santa Helena,12,1,SANTA HELENA - UVR 01,87780.01,75008.93,25351.0,109.64,24.0,133.64,66.0,2061.32,79278.0,70225.4,19773.19,100.09,32.73,132.83,61.0,2334.33
Santa Lúcia,49,1,SANTA LÚCIA - UVR 01,9163.75,5021.67,859.37,8.39,2.45,10.84,10.0,2030.17,12345.0,5380.0,2362.17,12.27,1.43,13.7,9.0,1989.5
Santa Maria do Oeste,102,1,SANTA MARIA DO OESTE - UVR 01,,,,,,,,,11422.23,11634.84,7710.6,10.58,1.52,11.85,7.0,2159.33
Santa Mariana,103,1,SANTA MARIANA - UVR 01,,,,,,,,,36866.47,19738.22,16766.97,35.98,8.49,44.47,15.0,2627.1
Santa Mônica,128,1,SANTA MÔNICA - UVR 01,,,,,,,,,4066.06,11849.82,15899.99,5.21,0.89,5.65,5.0,2293.93
Santana do Itararé,129,1,SANTANA DO ITARARÉ - UVR 01,,,,,,,,,11083.19,2115.29,1005.05,11.03,0.64,11.67,8.0,1664.29
Santa Tereza do Oeste,22,1,SANTA TEREZA DO OESTE - UVR 01,10614.96,6187.63,3842.08,10.41,4.47,13.98,5.0,2341.67,14004.78,5714.77,5424.33,14.89,5.22,20.11,5.0,2225.0
Santa Terezinha de Itaipu,35,1,SANTA TEREZINHA DE ITAIPU - UVR 01,119455.24,55966.38,8951.83,123.09,44.88,167.97,44.0,4267.58,154113.77,59440.05,9789.26,137.29,35.85,173.13,43.0,4295.36
São João do Caiuá,131,1,SÃO JOÃO DO CAIUÁ - UVR 01,,,,,,,,,8864.85,8887.04,2665.34,7.95,1.15,8.91,8.0,1276.17
São João do Ivaí,123,1,SÃO JOÃO DO IVAÍ - UVR 01,,,,,,,,,10258.0,0.0,165.31,14.94,8.8,23.73,8.0,1509.09
São João do Triunfo,104,1,SÃO JOÃO DO TRIUNFO - UVR 01,,,,,,,,,9866.93,27231.2,0.0,16.12,5.64,21.76,11.0,1460.83
São José das Palmeiras,21,1,SÃO JOSE DAS PALMEIRAS - UVR 01,13110.01,10861.94,1485.0,11.77,0.59,12.36,6.0,4121.37,12086.55,9803.28,1149.8,11.11,1.47,12.59,6.0,3624.33
São Miguel do Iguaçu,32,1,SÃO MIGUEL DO IGUAÇU - UVR 01,67994.73,32529.57,13249.69,78.09,42.79,120.88,40.0,2923.33,65276.55,33889.1,20180.02,79.49,43.38,122.87,46.0,2733.33
São Pedro do Iguaçu,34,1,SÃO PEDRO DO IGUAÇU - UVR 01,16351.87,8871.43,3607.07,19.87,1.59,21.29,13.0,2128.91,19710.11,9000.0,15666.6,26.34,1.85,28.18,14.0,2276.9
Serranópolis do Iguaçu,38,1,SERRANOPOLIS DO IGUAÇU - UVR 01,22383.63,13866.67,6881.92,22.98,7.24,30.22,10.0,3106.38,24997.99,15587.83,5754.8,26.33,8.44,34.76,10.0,3491.01
Terra Roxa,15,1,TERRA ROXA - UVR 01,10683.44,18548.39,5130.33,13.72,14.99,21.22,15.0,2467.13,22772.15,11643.87,8013.2,33.02,15.23,48.25,15.0,2500.0
Tijucas do Sul,105,1,TIJUCAS DO SUL - UVR 01,,,,,,,,,54226.84,45026.57,4177.72,49.7,16.28,63.27,26.0,2556.7
Toledo,5,1,TOLEDO - UVR 01,83248.75,25293.8,33927.0,151.76,110.07,206.79,64.0,2150.0,108637.33,35947.7,16479.83,189.31,107.24,296.55,71.0,3379.17
Três Barras do Paraná,67,1,TRES BARRAS DO PARANA - UVR 01,21640.26,12111.75,2879.2,32.51,5.67,35.34,12.0,2324.0,18678.43,11672.63,4670.17,30.63,5.44,35.16,11.0,2300.83
Tupãssi,13,1,TUPASSI - UVR 01,7061.85,2305.38,428.32,8.21,2.67,9.54,3.0,3215.14,8875.63,2762.37,624.96,10.15,1.92,12.07,4.0,2644.68
Ubiratã,10,1,UBIRATA - UVR 01,26802.34,12101.46,2529.45,27.67,10.0,37.67,16.0,2185.5,22924.53,32799.47,2032.29,27.96,13.33,41.29,16.0,2288.12
Vera Cruz do Oeste,6,1,VERA CRUZ DO OESTE - UVR 01,22713.38,7103.77,5533.8,23.9,7.47,29.87,16.0,1741.67,22331.16,8949.62,3784.89,24.43,13.89,38.32,15.0,1186.32
