id,municipio,uvr,uvr_nro,data_envio
73,Castro,RECICLACASTRO,1,2025-11-24 12:24:56.852450
54,Mercedes,MERCEDES - UVR 01,1,2025-11-26 15:09:43.947322
73,Castro,RECICLACASTRO,1,2025-07-21 11:21:38.380867
94,Mandaguari,MANDAGUARI - UVR 01,1,2025-10-15 16:33:00.047790
76,Atalaia,ATALAIA - UVR 01,1,2025-12-02 13:15:17.376102
89,Jaguariaíva,JAGUARIAÍVA - UVR 01,1,2025-02-07 16:18:15.246561
55,Mundo Novo,MUNDO NOVO - UVR 01,1,2025-08-06 13:17:13.662814
82,Capanema,CAPANEMA - UVR 01,1,2025-12-04 13:26:42.961011
73,Castro,RECICLACASTRO,1,2025-08-18 15:35:23.273579
55,Mundo Novo,MUNDO NOVO - UVR 01,1,2025-08-20 10:03:56.822806
23,Palotina,PALOTINA - UVR 01,1,2025-08-21 11:00:57.821826
61,Céu Azul,CÉU AZUL - UVR 01,1,2025-08-22 10:01:02.492914
68,Guaíra,GUAIRA - UVR 01,1,2025-12-09 14:52:05.352809
73,Castro,RECICLACASTRO,1,2025-09-01 15:30:19.205792
35,Santa Terezinha de Itaipu,SANTA TEREZINHA DE ITAIPU - UVR 01,1,2025-08-19 14:33:40.724191
73,Castro,RECICLACASTRO,1,2025-09-15 11:30:33.290770
149,Paranhos,PARANHOS - UVR 01,1,2025-09-16 09:32:42.678478
137,Cafezal do Sul,CAFEZAL DO SUL - UVR 01,1,2025-09-17 09:55:54.571428
164,Santa Cruz de Monte Castelo,SANTA CRUZ DO MONTE CASTELO - UVR 01,1,2025-09-18 11:22:29.932990
148,Nova Olímpia,NOVA OLIMPIA - UVR 01,1,2025-09-19 09:28:36.118915
151,Tacuru,TACURU - UVR 01,1,2025-09-11 11:48:04.637022
156,Itaúna do Sul,ITAUNA DO SUL - UVR 01,1,2025-12-10 08:57:37.097283
142,Iporã,IPORÃ - UVR 01,1,2025-09-22 14:01:34.297625
9,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 01,1,2025-09-25 08:55:03.909154
165,Santa Isabel do Ivaí,SANTA ISABEL DO IVAI - UVR 01,1,2025-09-26 18:17:37.599271
73,Castro,RECICLACASTRO,1,2025-09-29 11:32:14.959893
154,Cruzeiro do Oeste,CRUZEIRO DO OESTE - UVR 01,1,2025-10-01 10:47:44.729764
136,Caarapó,CAARAPÓ - UVR 01,1,2025-10-02 12:49:37.997513
172,Pérola,PÉROLA - UVR 01,1,2025-10-03 10:28:16.820505
176,Tapira,TAPIRA - UVR 01,1,2025-10-06 16:34:13.965409
143,Itaquiraí,ITAQUIRAÍ - UVR 01,1,2025-10-07 11:02:32.667904
104,São João do Triunfo,SÃO JOÃO DO TRIUNFO - UVR 01,1,2025-07-24 09:35:28.017102
153,Umuarama,UMUARAMA - UVR 01,1,2025-09-24 08:53:41.578712
73,Castro,RECICLACASTRO,1,2025-10-13 13:39:51.740265
122,Palmital,PALMITAL - UVR 01,1,2025-10-20 13:44:18.873221
155,Diamante do Norte,DIAMANTE DO NORTE - UVR 01,1,2025-10-27 14:47:54.583717
159,Nova Londrina,NOVA LONDRINA - UVR 01,1,2025-10-28 10:21:03.344596
73,Castro,RECICLACASTRO,1,2025-10-29 09:33:16.555514
73,Castro,RECICLACASTRO,1,2025-11-05 14:28:51.011261
5,Toledo,TOLEDO - UVR 01,1,2025-11-13 15:52:13.404291
114,Coronel Vivida,CORONEL VIVIDA - UVR 01,1,2025-11-17 11:53:53.102066
73,Castro,RECICLACASTRO,1,2025-11-11 13:38:35.849818
20,Assis Chateaubriand,ASSIS CHATEAUBRIAND - UVR 01,1,2025-07-21 14:32:24.744877
73,Castro,RECICLACASTRO,1,2025-09-15 14:20:09.070763
167,Xambrê,XAMBRE - UVR 01,1,2025-09-25 08:58:36.267190
147,Naviraí,NAVIRAÍ - UVR 01,1,2025-09-24 09:02:38.843203
144,Juti,JUTI - UVR 01,1,2025-09-16 15:50:25.793202
145,Maria Helena,MARIA HELENA - UVR 01,1,2025-10-01 11:03:11.926594
168,Eldorado,ELDORADO - UVR 01,1,2025-09-22 14:44:02.169867
157,Loanda,LOANDA - UVR 01,1,2025-10-07 13:39:08.522593
133,Alto Piquiri,ALTO PIQUIRI - UVR 01,1,2025-10-13 14:55:34.913509
64,Maripá,MARIPA - UVR 01,1,2025-11-11 13:42:44.812020
175,Ivaté,IVATÉ - UVR 01,1,2025-09-29 15:20:07.155916
116,Enéas Marques,ENÉAS MARQUES - UVR 01,1,2025-12-04 15:48:19.989650
162,Porto Rico,PORTO RICO - UVR 01,1,2025-12-10 15:49:34.457885
69,Belém,BELÉM - UVR 03 - CONCAVES,3,2025-01-10 00:39:19.872219
73,Castro,RECICLACASTRO,1,2025-01-15 12:41:34.740568
75,Apucarana,APUCARANA - UVR 01,1,2025-02-05 13:47:22.238732
101,Rio Negro,RIO NEGRO - UVR 01,1,2025-02-05 13:49:51.461747
82,Capanema,CAPANEMA - UVR 01,1,2025-02-05 16:52:38.387663
3,Altônia,ALTÔNIA - UVR 01,1,2025-02-06 10:41:15.572439
92,Laranjeiras do Sul,LARANJEIRAS DO SUL - UVR 01,1,2025-02-06 15:23:22.779436
80,Cambará,CAMBARA - UVR 01,1,2025-02-06 16:02:09.238531
77,Barracão,BARRACÃO - UVR 01,1,2025-02-06 16:29:07.698638
86,Francisco Beltrão,FRANCISCO BELTRÃO - UVR 01,1,2025-02-07 08:26:16.117038
73,Castro,RECICLACASTRO,1,2025-02-07 09:28:49.126582
81,Campo Magro,CAMPO MAGRO - UVR 01,1,2025-02-10 14:57:58.495257
105,Tijucas do Sul,TIJUCAS DO SUL - UVR 01,1,2025-02-10 15:33:33.598752
88,Ibaiti,IBAITI - UVR 01,1,2025-02-11 19:33:06.255089
85,Francisco Beltrão,FRANCISCO BELTRÃO - UVR 02,2,2025-02-21 09:56:59.869658
86,Francisco Beltrão,FRANCISCO BELTRÃO - UVR 01,1,2025-02-24 08:40:28.578522
13,Tupãssi,TUPASSI - UVR 01,1,2025-02-26 15:34:50.153359
33,Iguatu,IGUATU - UVR 01,1,2025-02-28 09:01:47.297708
11,Pato Bragado,PATO BRAGADO - UVR 01,1,2025-03-05 10:58:24.758247
18,Capitão Leônidas Marques,CAPITÃO LEONIDAS MARQUES - UVR 01,1,2025-03-07 08:30:59.959051
40,Guaraniaçu,GUARANIACU - UVR 01,1,2025-03-08 21:24:56.463971
1,Diamante do Sul,DIAMANTE DO SUL - UVR 01,1,2025-03-10 14:28:05.617520
21,São José das Palmeiras,SÃO JOSE DAS PALMEIRAS - UVR 01,1,2025-03-10 14:28:50.744564
51,Medianeira,MEDIANEIRA - UVR 01,1,2025-03-11 15:22:19.678569
86,Francisco Beltrão,FRANCISCO BELTRÃO - UVR 01,1,2025-03-12 08:58:30.043328
87,Francisco Beltrão,FRANCISCO BELTRÃO - UVR 03,3,2025-03-12 09:05:19.358973
19,Missal,MISSAL - UVR 01,1,2025-03-12 13:46:37.480223
109,Campo Largo,CAMPO LARGO - UVR 01,1,2025-03-18 14:22:16.970352
50,Iracema do Oeste,IRACEMA DO OESTE - UVR 01,1,2025-03-19 16:12:21.779156
22,Santa Tereza do Oeste,SANTA TEREZA DO OESTE - UVR 01,1,2025-03-19 17:09:24.636057
39,Anahy,ANAHY - UVR 01,1,2025-03-20 09:08:46.681282
103,Santa Mariana,SANTA MARIANA - UVR 01,1,2025-02-05 15:07:18.667761
96,Nova Tebas,NOVA TEBAS - UVR 01,1,2025-02-05 10:38:21.919214
106,Reserva do Iguaçu,RESERVA DO IGUAÇU - UVR 01,1,2025-02-04 15:08:32.509381
99,Quedas do Iguaçu,QUEDAS DO IGUAÇU - UVR 01,1,2025-02-05 15:07:47.877934
100,Ribeirão Claro,RIBEIRÃO CLARO - UVR 01,1,2025-02-05 10:13:53.212886
118,Jaguapitã,JAGUAPITÃ - UVR 01,1,2025-03-18 15:39:05.095665
93,Mandaguaçu,MANDAGUAÇU - UVR 01,1,2025-02-05 13:41:25.462753
90,Jardim Alegre,JARDIM ALEGRE - UVR 01,1,2025-02-07 08:17:02.432361
91,Kaloré,KALORÉ - UVR 01,1,2025-02-07 16:27:16.265943
76,Atalaia,ATALAIA - UVR 01,1,2025-02-05 16:41:47.519421
84,Cruzeiro do Sul,CRUZEIRO DO SUL - UVR 01,1,2025-02-07 15:00:46.969879
83,Colorado,COLORADO - UVR 01,1,2025-02-05 16:38:25.937075
97,Paraíso do Norte,PARAÍSO DO NORTE - UVR 01,1,2025-02-06 11:43:47.047073
79,Borrazópolis,BORRAZÓPOLIS - UVR 01,1,2025-02-10 11:21:26.280139
104,São João do Triunfo,SÃO JOÃO DO TRIUNFO - UVR 01,1,2025-03-20 09:56:57.442635
113,Campo Largo,CAMPO LARGO - UVR 04,4,2025-03-20 10:11:04.538012
27,Diamante D'Oeste,DIAMANTE D'OESTE - UVR 01,1,2025-03-20 10:13:52.599003
112,Campo Largo,CAMPO LARGO - UVR 05,5,2025-03-20 10:43:17.648847
67,Três Barras do Paraná,TRES BARRAS DO PARANA - UVR 01,1,2025-03-20 11:30:52.800476
58,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 06,6,2025-03-20 15:25:56.448865
29,Brasilândia do Sul,BRASILÂNDIA DO SUL - UVR 01,1,2025-03-21 08:06:46.176528
124,Realeza,REALEZA - UVR 01,1,2025-03-21 09:59:23.239194
110,Campo Largo,CAMPO LARGO - UVR 03,3,2025-03-21 10:52:48.662377
119,Lapa,LAPA - UVR 01,1,2025-03-21 12:29:39.846080
17,Catanduvas,CATANDUVAS - UVR 01,1,2025-03-21 14:35:10.899759
111,Campo Largo,CAMPO LARGO - UVR 02,2,2025-03-21 15:46:47.721830
46,Ibema,IBEMA - UVR 01,1,2025-03-24 08:51:33.981236
73,Castro,RECICLACASTRO,1,2025-03-25 13:18:01.913662
120,Marmeleiro,MARMELEIRO - UVR 01,1,2025-03-25 14:16:34.970786
115,Cerro Azul,CERRO AZUL - UVR 01,1,2025-03-25 14:57:45.003645
63,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 08,8,2025-03-25 18:20:05.508702
116,Enéas Marques,ENÉAS MARQUES - UVR 01,1,2025-03-26 09:55:18.115790
116,Enéas Marques,ENÉAS MARQUES - UVR 01,1,2025-03-26 11:32:57.255476
16,Boa Vista da Aparecida,BOA VISTA DA APARECIDA - UVR 01,1,2025-03-27 07:56:30.919278
59,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 07,7,2025-03-27 08:56:54.462964
117,General Carneiro,GENERAL CARNEIRO - UVR 01,1,2025-03-27 09:00:47.118321
45,Itaipulândia,ITAIPULÂNDIA - UVR 01,1,2025-03-27 09:38:46.782044
129,Santana do Itararé,SANTANA DO ITARARÉ - UVR 01,1,2025-03-27 13:17:48.328483
49,Santa Lúcia,SANTA LÚCIA - UVR 01,1,2025-03-27 13:48:31.293532
121,Ortigueira,ORTIGUEIRA - UVR 01,1,2025-03-28 14:55:20.521492
36,Nova Santa Rosa,NOVA SANTA ROSA - UVR 01,1,2025-03-31 10:41:32.780661
34,São Pedro do Iguaçu,SÃO PEDRO DO IGUAÇU - UVR 01,1,2025-04-01 07:37:35.408200
56,Matelândia,MATELÂNDIA - UVR 01,1,2025-04-02 14:56:36.024589
12,Santa Helena,SANTA HELENA - UVR 01,1,2025-04-03 09:54:02.897697
125,Rio Branco do Sul,RIO BRANCO DO SUL - UVR 01,1,2025-04-03 16:53:23.208353
65,Marechal Cândido Rondon,MARECHAL CANDIDO RONDON - UVR 01,1,2025-04-04 19:45:24.752223
31,Marechal Cândido Rondon,MARECHAL CANDIDO RONDON - UVR 02,2,2025-04-04 19:52:31.691360
95,Mato Rico,MATO RICO - UVR 01,1,2025-04-08 09:09:27.349805
126,Rio Branco do Sul,RIO BRANCO DO SUL - UVR 02,2,2025-04-08 11:38:57.405727
38,Serranópolis do Iguaçu,SERRANOPOLIS DO IGUAÇU - UVR 01,1,2025-04-08 17:26:02.753034
73,Castro,RECICLACASTRO,1,2025-04-09 13:33:56.132871
28,Braganey,BRAGANEY - UVR 01,1,2025-04-09 14:35:05.215872
2,Quatro Pontes,QUATRO PONTES - UVR 01,1,2025-04-09 16:19:58.808125
7,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 04,4,2025-04-10 09:09:22.222221
102,Santa Maria do Oeste,SANTA MARIA DO OESTE - UVR 01,1,2025-04-10 10:55:42.754382
43,Cascavel,CASCAVEL - UVR 04 - CASCAVEL VELHO,4,2025-04-10 14:31:33.814588
43,Cascavel,CASCAVEL - UVR 04 - CASCAVEL VELHO,4,2025-04-10 14:42:27.198665
41,Cascavel,CASCAVEL - UVR 02 - CAREMEL,2,2025-04-10 14:51:30.449947
57,Cascavel,CASCAVEL - UVR 01 - MANAUS,1,2025-04-10 14:58:41.728836
44,Cascavel,CASCAVEL - UVR 05 - BRASÍLIA,5,2025-04-11 12:48:04.829934
10,Ubiratã,UBIRATA - UVR 01,1,2025-04-16 14:28:35.969135
4,Nova Aurora,NOVA AURORA - UVR 01,1,2025-04-16 14:35:54.220909
32,São Miguel do Iguaçu,SÃO MIGUEL DO IGUAÇU - UVR 01,1,2025-04-22 15:00:57.143647
73,Castro,RECICLACASTRO,1,2025-04-28 10:44:17.938807
26,Formosa do Oeste,FORMOSA DO OESTE - UVR 01,1,2025-05-06 09:34:05.619390
43,Cascavel,CASCAVEL - UVR 04 - CASCAVEL VELHO,4,2025-05-09 20:09:54.716907
47,Cascavel,CASCAVEL - UVR 06 - QUEBEC,6,2025-05-20 10:16:29.789489
4,Nova Aurora,NOVA AURORA - UVR 01,1,2025-05-30 16:18:22.650524
43,Cascavel,CASCAVEL - UVR 04 - CASCAVEL VELHO,4,2025-06-10 01:47:09.615015
42,Cascavel,CASCAVEL - UVR 03 - SANTA CRUZ,3,2025-07-09 15:37:23.800778
37,Entre Rios do Oeste,ENTRE RIOS DO OESTE - UVR 01,1,2025-07-10 09:55:30.460459
132,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 09,9,2025-07-16 13:37:32.577817
52,Ouro Verde do Oeste,OURO VERDE DO OESTE - UVR 01,1,2025-03-27 14:47:34.150692
8,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 05,5,2025-07-03 12:19:01.642035
62,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 02,2,2025-07-15 11:10:09.729706
30,Cafelândia,CAFELÂNDIA - UVR 01,1,2025-03-20 16:57:05.443295
131,São João do Caiuá,SÃO JOÃO DO CAIUÁ - UVR 01,1,2025-03-28 22:41:49.275049
107, Amaporã,AMAPORÃ - UVR 01,1,2025-03-23 20:32:35.926705
15,Terra Roxa,TERRA ROXA - UVR 01,1,2025-05-12 14:13:24.084957
123,São João do Ivaí,SÃO JOÃO DO IVAÍ - UVR 01,1,2025-06-05 14:42:03.249394
66,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 03,3,2025-04-14 16:24:23.555877
139,Douradina,DOURADINA - UVR 01,1,2025-09-22 17:04:06.765447
